x,y,ore_type,density,hardness,fragmentation_index
0,0,gold,4.0,0.8,0.2
1,0,silver,3.5,0.7,0.3
2,0,copper,3.0,0.6,0.4
3,0,iron,5.0,0.9,0.1
4,0,coal,2.0,0.4,0.6
5,0,clay,1.5,0.2,0.8
6,0,gold,4.0,0.8,0.2
7,0,silver,3.5,0.7,0.3
8,0,copper,3.0,0.6,0.4
9,0,iron,5.0,0.9,0.1
10,0,coal,2.0,0.4,0.6
11,0,clay,1.5,0.2,0.8
12,0,gold,4.0,0.8,0.2
13,0,silver,3.5,0.7,0.3
14,0,copper,3.0,0.6,0.4
15,0,iron,5.0,0.9,0.1
16,0,coal,2.0,0.4,0.6
17,0,clay,1.5,0.2,0.8
18,0,gold,4.0,0.8,0.2
19,0,silver,3.5,0.7,0.3
0,1,copper,3.0,0.6,0.4
1,1,iron,5.0,0.9,0.1
2,1,coal,2.0,0.4,0.6
3,1,clay,1.5,0.2,0.8
4,1,gold,4.0,0.8,0.2
5,1,silver,3.5,0.7,0.3
6,1,copper,3.0,0.6,0.4
7,1,iron,5.0,0.9,0.1
8,1,coal,2.0,0.4,0.6
9,1,clay,1.5,0.2,0.8
10,1,gold,4.0,0.8,0.2
11,1,silver,3.5,0.7,0.3
12,1,copper,3.0,0.6,0.4
13,1,iron,5.0,0.9,0.1
14,1,coal,2.0,0.4,0.6
15,1,clay,1.5,0.2,0.8
16,1,gold,4.0,0.8,0.2
17,1,silver,3.5,0.7,0.3
18,1,copper,3.0,0.6,0.4
19,1,iron,5.0,0.9,0.1
0,2,coal,2.0,0.4,0.6
1,2,clay,1.5,0.2,0.8
2,2,gold,4.0,0.8,0.2
3,2,silver,3.5,0.7,0.3
4,2,copper,3.0,0.6,0.4
5,2,iron,5.0,0.9,0.1
6,2,coal,2.0,0.4,0.6
7,2,clay,1.5,0.2,0.8
8,2,gold,4.0,0.8,0.2
9,2,silver,3.5,0.7,0.3
10,2,copper,3.0,0.6,0.4
11,2,iron,5.0,0.9,0.1
12,2,coal,2.0,0.4,0.6
13,2,clay,1.5,0.2,0.8
14,2,gold,4.0,0.8,0.2
15,2,silver,3.5,0.7,0.3
16,2,copper,3.0,0.6,0.4
17,2,iron,5.0,0.9,0.1
18,2,coal,2.0,0.4,0.6
19,2,clay,1.5,0.2,0.8
0,3,gold,4.0,0.8,0.2
1,3,silver,3.5,0.7,0.3
2,3,copper,3.0,0.6,0.4
3,3,iron,5.0,0.9,0.1
4,3,coal,2.0,0.4,0.6
5,3,clay,1.5,0.2,0.8
6,3,gold,4.0,0.8,0.2
7,3,silver,3.5,0.7,0.3
8,3,copper,3.0,0.6,0.4
9,3,iron,5.0,0.9,0.1
10,3,coal,2.0,0.4,0.6
11,3,clay,1.5,0.2,0.8
12,3,gold,4.0,0.8,0.2
13,3,silver,3.5,0.7,0.3
14,3,copper,3.0,0.6,0.4
15,3,iron,5.0,0.9,0.1
16,3,coal,2.0,0.4,0.6
17,3,clay,1.5,0.2,0.8
18,3,gold,4.0,0.8,0.2
19,3,silver,3.5,0.7,0.3
0,4,copper,3.0,0.6,0.4
1,4,iron,5.0,0.9,0.1
2,4,coal,2.0,0.4,0.6
3,4,clay,1.5,0.2,0.8
4,4,gold,4.0,0.8,0.2
5,4,silver,3.5,0.7,0.3
6,4,copper,3.0,0.6,0.4
7,4,iron,5.0,0.9,0.1
8,4,coal,2.0,0.4,0.6
9,4,clay,1.5,0.2,0.8
10,4,gold,4.0,0.8,0.2
11,4,silver,3.5,0.7,0.3
12,4,copper,3.0,0.6,0.4
13,4,iron,5.0,0.9,0.1
14,4,coal,2.0,0.4,0.6
15,4,clay,1.5,0.2,0.8
16,4,gold,4.0,0.8,0.2
17,4,silver,3.5,0.7,0.3
18,4,copper,3.0,0.6,0.4
19,4,iron,5.0,0.9,0.1
0,5,coal,2.0,0.4,0.6
1,5,clay,1.5,0.2,0.8
2,5,gold,4.0,0.8,0.2
3,5,silver,3.5,0.7,0.3
4,5,copper,3.0,0.6,0.4
5,5,iron,5.0,0.9,0.1
6,5,coal,2.0,0.4,0.6
7,5,clay,1.5,0.2,0.8
8,5,gold,4.0,0.8,0.2
9,5,silver,3.5,0.7,0.3
10,5,copper,3.0,0.6,0.4
11,5,iron,5.0,0.9,0.1
12,5,coal,2.0,0.4,0.6
13,5,clay,1.5,0.2,0.8
14,5,gold,4.0,0.8,0.2
15,5,silver,3.5,0.7,0.3
16,5,copper,3.0,0.6,0.4
17,5,iron,5.0,0.9,0.1
18,5,coal,2.0,0.4,0.6
19,5,clay,1.5,0.2,0.8
0,6,gold,4.0,0.8,0.2
1,6,silver,3.5,0.7,0.3
2,6,copper,3.0,0.6,0.4
3,6,iron,5.0,0.9,0.1
4,6,coal,2.0,0.4,0.6
5,6,clay,1.5,0.2,0.8
6,6,gold,4.0,0.8,0.2
7,6,silver,3.5,0.7,0.3
8,6,copper,3.0,0.6,0.4
9,6,iron,5.0,0.9,0.1
10,6,coal,2.0,0.4,0.6
11,6,clay,1.5,0.2,0.8
12,6,gold,4.0,0.8,0.2
13,6,silver,3.5,0.7,0.3
14,6,copper,3.0,0.6,0.4
15,6,iron,5.0,0.9,0.1
16,6,coal,2.0,0.4,0.6
17,6,clay,1.5,0.2,0.8
18,6,gold,4.0,0.8,0.2
19,6,silver,3.5,0.7,0.3
0,7,copper,3.0,0.6,0.4
1,7,iron,5.0,0.9,0.1
2,7,coal,2.0,0.4,0.6
3,7,clay,1.5,0.2,0.8
4,7,gold,4.0,0.8,0.2
5,7,silver,3.5,0.7,0.3
6,7,copper,3.0,0.6,0.4
7,7,iron,5.0,0.9,0.1
8,7,coal,2.0,0.4,0.6
9,7,clay,1.5,0.2,0.8
10,7,gold,4.0,0.8,0.2
11,7,silver,3.5,0.7,0.3
12,7,copper,3.0,0.6,0.4
13,7,iron,5.0,0.9,0.1
14,7,coal,2.0,0.4,0.6
15,7,clay,1.5,0.2,0.8
16,7,gold,4.0,0.8,0.2
17,7,silver,3.5,0.7,0.3
18,7,copper,3.0,0.6,0.4
19,7,iron,5.0,0.9,0.1
0,8,coal,2.0,0.4,0.6
1,8,clay,1.5,0.2,0.8
2,8,gold,4.0,0.8,0.2
3,8,silver,3.5,0.7,0.3
4,8,copper,3.0,0.6,0.4
5,8,iron,5.0,0.9,0.1
6,8,coal,2.0,0.4,0.6
7,8,clay,1.5,0.2,0.8
8,8,gold,4.0,0.8,0.2
9,8,silver,3.5,0.7,0.3
10,8,copper,3.0,0.6,0.4
11,8,iron,5.0,0.9,0.1
12,8,coal,2.0,0.4,0.6
13,8,clay,1.5,0.2,0.8
14,8,gold,4.0,0.8,0.2
15,8,silver,3.5,0.7,0.3
16,8,copper,3.0,0.6,0.4
17,8,iron,5.0,0.9,0.1
18,8,coal,2.0,0.4,0.6
19,8,clay,1.5,0.2,0.8
0,9,gold,4.0,0.8,0.2
1,9,silver,3.5,0.7,0.3
2,9,copper,3.0,0.6,0.4
3,9,iron,5.0,0.9,0.1
4,9,coal,2.0,0.4,0.6
5,9,clay,1.5,0.2,0.8
6,9,gold,4.0,0.8,0.2
7,9,silver,3.5,0.7,0.3
8,9,copper,3.0,0.6,0.4
9,9,iron,5.0,0.9,0.1
10,9,coal,2.0,0.4,0.6
11,9,clay,1.5,0.2,0.8
12,9,gold,4.0,0.8,0.2
13,9,silver,3.5,0.7,0.3
14,9,copper,3.0,0.6,0.4
15,9,iron,5.0,0.9,0.1
16,9,coal,2.0,0.4,0.6
17,9,clay,1.5,0.2,0.8
18,9,gold,4.0,0.8,0.2
19,9,silver,3.5,0.7,0.3
0,10,copper,3.0,0.6,0.4
1,10,iron,5.0,0.9,0.1
2,10,coal,2.0,0.4,0.6
3,10,clay,1.5,0.2,0.8
4,10,gold,4.0,0.8,0.2
5,10,silver,3.5,0.7,0.3
6,10,copper,3.0,0.6,0.4
7,10,iron,5.0,0.9,0.1
8,10,coal,2.0,0.4,0.6
9,10,clay,1.5,0.2,0.8
10,10,gold,4.0,0.8,0.2
11,10,silver,3.5,0.7,0.3
12,10,copper,3.0,0.6,0.4
13,10,iron,5.0,0.9,0.1
14,10,coal,2.0,0.4,0.6
15,10,clay,1.5,0.2,0.8
16,10,gold,4.0,0.8,0.2
17,10,silver,3.5,0.7,0.3
18,10,copper,3.0,0.6,0.4
19,10,iron,5.0,0.9,0.1
0,11,coal,2.0,0.4,0.6
1,11,clay,1.5,0.2,0.8
2,11,gold,4.0,0.8,0.2
3,11,silver,3.5,0.7,0.3
4,11,copper,3.0,0.6,0.4
5,11,iron,5.0,0.9,0.1
6,11,coal,2.0,0.4,0.6
7,11,clay,1.5,0.2,0.8
8,11,gold,4.0,0.8,0.2
9,11,silver,3.5,0.7,0.3
10,11,copper,3.0,0.6,0.4
11,11,iron,5.0,0.9,0.1
12,11,coal,2.0,0.4,0.6
13,11,clay,1.5,0.2,0.8
14,11,gold,4.0,0.8,0.2
15,11,silver,3.5,0.7,0.3
16,11,copper,3.0,0.6,0.4
17,11,iron,5.0,0.9,0.1
18,11,coal,2.0,0.4,0.6
19,11,clay,1.5,0.2,0.8
0,12,gold,4.0,0.8,0.2
1,12,silver,3.5,0.7,0.3
2,12,copper,3.0,0.6,0.4
3,12,iron,5.0,0.9,0.1
4,12,coal,2.0,0.4,0.6
5,12,clay,1.5,0.2,0.8
6,12,gold,4.0,0.8,0.2
7,12,silver,3.5,0.7,0.3
8,12,copper,3.0,0.6,0.4
9,12,iron,5.0,0.9,0.1
10,12,coal,2.0,0.4,0.6
11,12,clay,1.5,0.2,0.8
12,12,gold,4.0,0.8,0.2
13,12,silver,3.5,0.7,0.3
14,12,copper,3.0,0.6,0.4
15,12,iron,5.0,0.9,0.1
16,12,coal,2.0,0.4,0.6
17,12,clay,1.5,0.2,0.8
18,12,gold,4.0,0.8,0.2
19,12,silver,3.5,0.7,0.3
0,13,copper,3.0,0.6,0.4
1,13,iron,5.0,0.9,0.1
2,13,coal,2.0,0.4,0.6
3,13,clay,1.5,0.2,0.8
4,13,gold,4.0,0.8,0.2
5,13,silver,3.5,0.7,0.3
6,13,copper,3.0,0.6,0.4
7,13,iron,5.0,0.9,0.1
8,13,coal,2.0,0.4,0.6
9,13,clay,1.5,0.2,0.8
10,13,gold,4.0,0.8,0.2
11,13,silver,3.5,0.7,0.3
12,13,copper,3.0,0.6,0.4
13,13,iron,5.0,0.9,0.1
14,13,coal,2.0,0.4,0.6
15,13,clay,1.5,0.2,0.8
16,13,gold,4.0,0.8,0.2
17,13,silver,3.5,0.7,0.3
18,13,copper,3.0,0.6,0.4
19,13,iron,5.0,0.9,0.1
0,14,coal,2.0,0.4,0.6
1,14,clay,1.5,0.2,0.8
2,14,gold,4.0,0.8,0.2
3,14,silver,3.5,0.7,0.3
4,14,copper,3.0,0.6,0.4
5,14,iron,5.0,0.9,0.1
6,14,coal,2.0,0.4,0.6
7,14,clay,1.5,0.2,0.8
8,14,gold,4.0,0.8,0.2
9,14,silver,3.5,0.7,0.3
10,14,copper,3.0,0.6,0.4
11,14,iron,5.0,0.9,0.1
12,14,coal,2.0,0.4,0.6
13,14,clay,1.5,0.2,0.8
14,14,gold,4.0,0.8,0.2
15,14,silver,3.5,0.7,0.3
16,14,copper,3.0,0.6,0.4
17,14,iron,5.0,0.9,0.1
18,14,coal,2.0,0.4,0.6
19,14,clay,1.5,0.2,0.8
